Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Ferguson,CRY,DEF,1,0,0,0,0,3,1.0,8,£4.5,0.0%,0,0,0,0,2021
Costa,LEE,MID,1,0,0,0,0,1,1.0,21,£5.4,0.0%,0,0,0,0,2021
Gibbs-White,WOL,MID,1,0,0,0,0,0,0.5,7,£4.5,0.1%,0,0,0,0,2021
Philogene-Bidace,AVL,MID,1,0,0,0,0,0,1.0,4,£5,0.0%,0,0,0,0,2021
Scarlett,TOT,FWD,1,0,0,0,0,4,1.0,3,£4.5,2.3%,0,0,0,0,2021
Nelson,ARS,MID,1,0,0,0,0,4,1.0,19,£5,0.0%,1,0,0,0,2021
Emerson,CHE,DEF,1,0,0,0,0,3,1.0,4,£4.5,0.0%,0,0,0,0,2021
Campbell,WOL,MID,1,0,0,0,0,5,1.0,12,£4.4,0.2%,0,0,0,0,2021
Kean,EVE,FWD,1,0,0,0,0,2,1.0,1,£6,0.0%,0,0,0,0,2021
Stevens,BRE,DEF,1,0,0,0,0,4,1.0,14,£3.9,0.3%,0,0,0,0,2021
McCarron,LEE,MID,1,0,0,0,0,3,1.0,9,£4.4,0.0%,1,0,0,0,2021
Young-Coombes,BRE,FWD,1,0,0,0,0,2,1.0,3,£4.5,1.1%,0,0,0,0,2021
Brunt,LEI,MID,1,0,0,0,0,2,1.0,23,£4.5,0.0%,1,0,0,0,2021
McAteer,LEI,MID,1,0,0,0,0,3,1.0,2,£4.5,0.0%,0,0,0,0,2021
Egan-Riley,MCI,DEF,1,0,0,0,0,5,1.0,3,£4,0.0%,0,0,0,0,2021
Ferguson,BHA,FWD,1,0,0,0,0,4,1.0,22,£4.5,0.4%,1,0,0,0,2021
Kayky,MCI,FWD,1,0,0,0,0,2,1.0,6,£5,0.0%,0,0,0,0,2021
Olsen,AVL,GKP,1,0,0,0,0,14,1.0,90,£4,0.0%,3,0,0,0,2021
Delap,MCI,FWD,1,0,0,0,0,2,1.0,8,£4.5,0.2%,0,0,0,0,2021
Mejbri,MUN,MID,1,0,0,0,0,-2,0.5,67,£4.5,0.0%,2,0,0,0,2021
Chesters,WHU,MID,1,0,0,0,0,3,1.0,1,£4.5,0.0%,0,0,0,0,2021
Price,EVE,MID,1,0,0,0,0,-2,1.0,13,£4.5,0.0%,1,0,0,0,2021
