Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Boyd,BUR,MID,92,2,2,9,2,386,2.6,2837,£5.1,0.2%,45,0,0,0,2016
Hennessey,CRY,GKP,92,0,0,7,4,497,3.2,2610,£4.3,3.1%,46,0,0,0,2016
Puncheon,CRY,MID,92,0,6,7,6,500,2.6,3093,£5.1,0.7%,53,0,0,0,2016
Ward-Prowse,SOU,MID,92,4,4,9,5,377,3.1,1883,£5,1.4%,26,0,0,0,2016
Ward,BUR,DEF,91,1,1,8,3,596,2.5,3230,£4.5,1.6%,53,0,0,0,2016
Cabaye,CRY,MID,91,4,4,7,6,411,2.8,2125,£5.6,1.1%,41,0,0,1,2016
de Roon,MID,MID,91,4,1,8,5,399,2.8,2773,£4.3,1.8%,44,0,0,0,2016
Lowton,BUR,DEF,90,0,2,9,5,631,2.5,3240,£4.5,0.8%,53,0,0,0,2016
Davies,TOT,DEF,90,1,3,8,5,443,3.9,1739,£5,5.2%,13,0,0,0,2016
Mustafi,ARS,DEF,90,2,2,8,8,513,3.5,2274,£5.8,1.4%,30,0,0,0,2016
Iwobi,ARS,MID,89,3,5,9,8,352,3.4,1456,£5.3,1.1%,20,0,0,0,2016
Francis,BOU,DEF,89,0,1,10,7,639,2.6,2938,£4.5,1.4%,54,0,0,0,2016
Robles,EVE,GKP,89,0,1,10,5,407,4.5,1737,£4.7,0.9%,20,0,0,0,2016
Ayew,WHU,MID,89,6,3,6,5,257,3.6,1439,£7.1,1%,25,0,0,0,2016
Afobe,BOU,FWD,88,6,5,5,9,259,2.8,1458,£5.3,1.2%,24,0,0,1,2016
Huth,LEI,DEF,88,2,2,9,1,479,2.7,2926,£4.9,1.8%,49,2,0,0,2016
Clucas,HUL,MID,87,3,1,5,4,509,2.4,3186,£4.7,0.2%,75,0,0,0,2016
Clichy,MCI,DEF,87,1,0,8,9,493,3.5,2123,£5.2,1.9%,24,0,0,0,2016
Holebas,WAT,DEF,87,2,4,7,9,547,2.6,2905,£4.6,3%,61,0,0,0,2016
Ward,CRY,DEF,86,0,1,7,7,568,2.3,3417,£4.8,0.9%,63,0,0,0,2016
Jakupovic,HUL,GKP,86,0,0,5,7,431,3.9,1980,£4.1,21.9%,36,0,2,0,2016
Yaya Touré,MCI,MID,86,5,0,12,6,422,3.4,1941,£7.2,1%,17,0,0,0,2016
Xhaka,ARS,MID,85,2,3,10,7,506,2.7,2483,£5.2,3.2%,32,0,0,0,2016
Simpson,LEI,DEF,85,0,3,9,4,529,2.4,2988,£4.9,2.1%,50,0,0,0,2016
Arter,BOU,MID,84,1,4,9,6,513,2.4,2956,£5,0.3%,62,0,0,1,2016
Rose,TOT,DEF,84,2,3,8,6,357,4.7,1530,£5.8,4.3%,11,0,0,0,2016
Morrison,WBA,MID,84,5,2,4,4,328,2.7,1741,£4.3,1.1%,22,0,0,0,2016
Chambers,MID,DEF,83,2,1,7,7,499,3.3,2250,£4.3,3.4%,37,0,0,0,2016
Chamberlain,ARS,MID,83,2,7,4,3,393,2.9,1564,£5.8,1.4%,22,0,0,0,2016
Kanté,CHE,MID,83,1,1,13,1,554,2.4,3138,£4.7,11.7%,33,0,0,0,2016
Slimani,LEI,FWD,83,7,4,5,9,271,3.6,1281,£8.2,0.6%,23,0,0,0,2016
Naughton,SWA,DEF,82,1,0,8,7,528,2.6,2714,£4.4,2.1%,48,1,0,0,2016
Barnes,BUR,FWD,81,6,3,6,10,241,2.9,1774,£4.6,4.3%,27,0,0,0,2016
Payet,WHU,MID,81,2,8,4,10,347,4.5,1513,£9,6.2%,28,0,0,0,2016
Oriol Romeu,SOU,MID,80,1,0,13,4,566,2.3,3071,£4.4,0.8%,42,0,0,0,2016
Shaqiri,STK,MID,80,4,2,8,8,275,3.8,1699,£6,3%,21,0,0,0,2016
Gueye,EVE,MID,80,1,2,9,9,540,2.4,2681,£5,0.4%,31,0,0,0,2016
Crouch,STK,FWD,79,7,3,4,7,262,2.9,1343,£4.4,3.4%,23,0,0,0,2016
Evans,WBA,DEF,79,2,1,4,7,478,2.5,2637,£4.4,4.1%,39,0,0,0,2016
Kouyaté,WHU,MID,79,1,1,9,3,438,2.5,2723,£5,0.7%,46,0,0,0,2016
Fernandinho,MCI,MID,78,2,1,10,3,483,2.4,2755,£5.3,1.5%,27,0,0,0,2016
Yoshida,SOU,DEF,78,1,1,7,8,469,3.4,2070,£4.5,5.9%,32,0,0,0,2016
Livermore,WBA,MID,77,1,1,4,2,458,2.1,2970,£4.7,0.1%,62,0,0,0,2016
Rojo,MUN,DEF,77,1,0,8,7,394,3.7,1663,£5.2,0.7%,13,0,0,0,2016
Downing,MID,MID,77,1,3,7,3,364,2.6,2214,£4.8,0.4%,39,0,0,0,2016
Forshaw,MID,MID,77,0,2,9,3,401,2.3,2695,£4.5,0.4%,36,0,0,0,2016
Davis,SOU,MID,77,0,3,10,0,450,2.4,2643,£5.1,0.5%,37,0,0,0,2016
Rooney,MUN,FWD,76,5,5,6,9,322,3.0,1540,£8.6,2.4%,16,0,0,0,2016
Rashford,MUN,FWD,76,5,3,7,2,287,2.4,1712,£6.4,10.6%,15,0,0,0,2016
Dembélé,TOT,MID,76,1,2,11,6,456,2.5,2056,£5.4,0.5%,17,0,0,0,2016
Hendrick,BUR,MID,76,2,1,9,1,286,2.4,2691,£5.3,0.1%,47,0,0,0,2016
Tomkins,CRY,DEF,75,3,0,6,5,359,3.1,1974,£4.8,0.2%,36,0,0,0,2016
Virgil,SOU,DEF,75,1,0,7,14,435,3.6,1852,£5.6,5.3%,23,0,0,0,2016
Routledge,SWA,MID,74,3,2,5,2,228,2.7,1917,£4.5,0.3%,42,0,0,0,2016
Nyom,WBA,DEF,74,0,2,5,6,419,2.3,2638,£4.4,1.3%,39,0,0,0,2016
Robertson,HUL,DEF,73,1,2,5,4,488,2.2,2736,£4.4,1.9%,59,0,0,0,2016
J.Henderson,LIV,MID,73,1,4,7,9,467,3.0,2116,£6.2,1%,28,0,0,0,2016
Mkhitaryan,MUN,MID,73,4,1,10,3,279,3.0,1348,£8.7,2.1%,8,0,0,0,2016
Rodriguez,SOU,MID,73,5,2,3,8,170,3.0,893,£5.9,0.3%,15,0,0,0,2016
Bravo,MCI,GKP,73,0,0,6,3,366,3.3,1968,£5,1.2%,26,0,1,0,2016
Hernández,HUL,FWD,72,4,4,4,6,208,3.0,1425,£5.9,0.9%,23,0,0,0,2016
Walters,STK,MID,72,4,3,6,3,195,3.1,1304,£5.3,0.1%,22,0,0,0,2016
Maguire,HUL,DEF,71,2,3,4,5,483,2.4,2307,£4.4,0.8%,53,0,0,0,2016
Britos,WAT,DEF,71,1,2,6,8,413,2.6,2280,£4.2,0.7%,36,0,0,0,2016
Noble,WHU,MID,71,3,0,8,5,389,2.4,2389,£6.2,1.2%,40,0,0,1,2016
Barragán,MID,DEF,71,0,0,7,8,455,2.7,2193,£4.3,1%,32,0,0,0,2016
Darmian,MUN,DEF,70,0,0,9,6,319,3.9,1333,£5,1%,8,0,0,0,2016
Clayton,MID,MID,70,0,2,10,0,427,2.1,2804,£4.3,0.8%,45,0,0,0,2016
Arfield,BUR,MID,69,1,2,6,3,253,2.2,2103,£5.2,0.1%,36,0,0,0,2016
Funes Mori,EVE,DEF,69,0,1,7,4,365,3.0,1543,£4.5,1.4%,19,0,0,0,2016
Drinkwater,LEI,MID,69,1,1,8,3,384,2.4,2466,£5.3,3.6%,44,0,0,0,2016
Koné,SUN,DEF,69,1,0,5,5,451,2.3,2545,£4.2,1.7%,46,0,0,0,2016
Randolph,WHU,GKP,69,0,0,4,5,370,3.1,1980,£4.4,1.3%,39,0,1,0,2016
Collins,WHU,DEF,69,2,0,6,7,364,3.1,1655,£4.2,4.5%,29,0,0,0,2016
Carroll,WHU,FWD,69,7,2,3,6,256,3.8,1312,£5.9,2%,27,0,0,0,2016
Stekelenburg,EVE,GKP,68,0,0,4,3,309,3.6,1683,£4.7,1.7%,24,1,2,0,2016
Barry,EVE,MID,68,2,1,7,3,371,2.1,2109,£4.3,3.2%,28,0,0,0,2016
Prödl,WAT,DEF,67,1,2,5,3,441,2.0,2770,£4.3,0.8%,49,0,0,0,2016
Ndong,SUN,MID,67,1,1,5,1,397,2.2,2520,£4.8,0%,48,0,0,0,2016
G.Jesus,MCI,FWD,67,7,4,3,12,258,6.7,651,£9.1,14.7%,5,0,0,0,2016
Amrabat,WAT,MID,65,0,3,4,5,263,2.2,2091,£5,0.1%,51,0,0,0,2016
