Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Calvert-Lewin,EVE,FWD,40,2,1,4,2,89,2.4,1166,£7.9,0.3%,22,0,0,0,2022
Kebano,FUL,MID,40,0,4,3,0,123,2.4,758,£5.4,0.0%,10,0,0,0,2022
Laporte,MCI,DEF,40,0,0,4,3,210,3.3,992,£5.6,0.6%,10,0,0,0,2022
McKenna,NFO,DEF,40,0,0,5,0,275,2.0,1570,£4.4,0.1%,32,0,0,0,2022
Forster,TOT,GKP,40,0,0,3,1,222,2.9,1215,£3.9,4.4%,24,0,1,0,2022
Badiashile,CHE,DEF,40,1,0,4,2,209,3.6,904,£5,0.4%,9,0,0,0,2022
Pulisic,CHE,MID,39,1,1,3,0,102,1.6,805,£5.6,0.4%,11,0,0,0,2022
Keane,EVE,DEF,39,1,2,2,5,180,3.2,983,£4.2,0.5%,22,0,0,0,2022
Maguire,MUN,DEF,39,0,0,5,2,201,2.4,762,£4.7,0.4%,7,0,0,0,2022
Emerson,WHU,DEF,39,1,0,2,2,209,1.8,1317,£4,1.3%,28,0,0,0,2022
Dendoncker,AVL,MID,37,0,0,4,0,163,1.5,897,£4.7,0.1%,14,0,0,0,2022
Neto,WOL,MID,37,0,2,5,0,124,2.1,962,£4.9,1.6%,15,0,0,0,2022
Johnstone,CRY,GKP,36,0,0,3,5,159,4.0,810,£4.4,1.1%,10,0,0,0,2022
Matip,LIV,DEF,36,1,0,3,4,216,2.6,1091,£5.9,0.9%,20,1,0,0,2022
McTominay,MUN,MID,36,1,0,4,2,146,1.5,1149,£4.9,0.2%,20,0,0,0,2022
Targett,NEW,DEF,35,0,0,3,2,157,2.1,600,£4.7,0.5%,6,0,0,0,2022
Stephens,BOU,DEF,35,0,0,4,1,233,2.1,1218,£4.3,0.0%,24,0,0,0,2022
Doherty,TOT,DEF,35,1,0,3,2,147,2.9,663,£4.6,0.3%,9,0,0,0,2022
R.Sessegnon,TOT,DEF,35,2,1,1,0,121,2.1,805,£4.4,0.5%,15,0,0,0,2022
Kouyaté,NFO,MID,35,1,0,2,2,144,1.7,871,£4.4,0.1%,23,0,0,0,2022
Lemina,WOL,MID,35,0,1,5,0,196,1.8,1297,£4.5,0.0%,28,0,0,0,2022
Praet,LEI,MID,34,1,1,2,0,115,1.5,635,£4.8,0.0%,10,0,0,0,2022
Ziyech,CHE,MID,33,0,3,2,0,129,1.8,649,£5.5,0.4%,7,0,0,0,2022
